	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
193.500000000000030E+0	-68.994585991744059E-3	-23.503705461228031E-3
194.000000000000030E+0	-69.608740338256772E-3	-21.768473926843637E-3
194.500000000000030E+0	-70.892722528546226E-3	-20.426610585051030E-3
195.000000000000030E+0	-70.611847517429188E-3	-20.195488150744123E-3
195.500000000000030E+0	-70.221309424261705E-3	-18.921775789883452E-3
196.000000000000030E+0	-70.612181092845810E-3	-18.201073726034748E-3
196.500000000000030E+0	-70.290823392211127E-3	-17.970899369720073E-3
197.000000000000030E+0	-70.685386727996749E-3	-17.174963687770325E-3
197.500000000000030E+0	-71.483953933381583E-3	-17.396671914066124E-3
198.000000000000030E+0	-71.580991653463183E-3	-17.069700083529146E-3
198.500000000000030E+0	-72.892565950325491E-3	-15.829137662768368E-3
199.000000000000030E+0	-73.535672676400876E-3	-16.081518657155305E-3
199.500000000000030E+0	-73.075900700780988E-3	-15.082240595862419E-3
200.000000000000030E+0	-74.814663061013323E-3	-15.032027323586803E-3
200.500000000000030E+0	-75.649909402455404E-3	-15.960754028871114E-3
201.000000000000030E+0	-77.088643313060215E-3	-14.363437023956952E-3
201.500000000000030E+0	-78.595828169655518E-3	-13.863993683212183E-3
202.000000000000030E+0	-78.577110862196209E-3	-13.061861288049882E-3
202.500000000000030E+0	-80.113545796931376E-3	-11.311336550028816E-3
203.000000000000030E+0	-80.835926879095438E-3	-9.855840863899469E-3
203.500000000000030E+0	-79.923105035520692E-3	-6.893999688423557E-3
204.000000000000030E+0	-80.257557447672129E-3	-5.514940009278998E-3
204.500000000000030E+0	-79.742472413493568E-3	-5.562483797041830E-3
205.000000000000030E+0	-79.594388847499697E-3	-3.886082508043376E-3
205.500000000000030E+0	-80.389435824736344E-3	-4.669038949743353E-3
206.000000000000030E+0	-79.469638903670300E-3	-4.553111279490881E-3
206.500000000000030E+0	-80.690858261778547E-3	-3.063897293835862E-3
207.000000000000030E+0	-81.053162252536504E-3	-3.700233294544908E-3
207.500000000000030E+0	-81.039214567572501E-3	-2.298777327315149E-3
208.000000000000030E+0	-82.309753423972967E-3	-1.483418669764934E-3
208.500000000000030E+0	-82.349734822521559E-3	-573.956063604873140E-6
209.000000000000030E+0	-82.954866998298848E-3	843.687970727119210E-6
209.500000000000030E+0	-82.544640756580898E-3	1.345779998407767E-3
210.000000000000030E+0	-82.155273749697208E-3	2.551286152517044E-3
210.500000000000030E+0	-82.929137824397814E-3	2.616832782889968E-3
211.000000000000030E+0	-83.130981269070800E-3	2.549879520612368E-3
211.500000000000030E+0	-84.271758618743434E-3	3.538259885474614E-3
212.000000000000030E+0	-86.048121128081564E-3	4.262226209592944E-3
212.500000000000030E+0	-86.401122750196943E-3	5.509530658092415E-3
213.000000000000030E+0	-86.994394502125053E-3	6.961687915640849E-3
213.500000000000030E+0	-86.653099098783021E-3	7.891671584203203E-3
214.000000000000030E+0	-86.690143763069452E-3	9.520134602750616E-3
214.500000000000030E+0	-86.926161125846058E-3	10.728171883527230E-3
215.000000000000030E+0	-86.883812048949863E-3	12.630520143091097E-3
215.500000000000030E+0	-87.285048942667615E-3	13.723700707553100E-3
216.000000000000030E+0	-87.272022365091254E-3	14.389795474209162E-3
216.500000000000030E+0	-88.037583527197788E-3	15.526656045454678E-3
217.000000000000030E+0	-88.158077708830523E-3	16.538716489005317E-3
217.500000000000030E+0	-88.047343174026030E-3	18.497841730822619E-3
218.000000000000030E+0	-88.567956388156677E-3	19.676386538532566E-3
218.500000000000030E+0	-87.614837171322901E-3	21.100403757718166E-3
